Czas / s	Napiecie / V
237456	1,833
238211	1,831
238966	1,829
239721	1,827
240476	1,825
241231	1,822
241986	1,820
242741	1,818
243496	1,817
244251	1,815
245006	1,813
245761	1,811
246516	1,809
247271	1,807
248026	1,806
248781	1,804
249536	1,802
250291	1,801
251046	1,799
251801	1,797
252556	1,795
253311	1,794
254066	1,793
254821	1,791
255576	1,790
256331	1,788
257085	1,787
257841	1,786
258596	1,784
259351	1,783
260106	1,782
260861	1,781
261615	1,779
262370	1,778
263125	1,777
263880	1,776
264635	1,774
265390	1,773
266145	1,772
266900	1,771
267655	1,770
268410	1,769
269165	1,767
269920	1,766
270675	1,766
271430	1,764
272185	1,763
272940	1,762
273695	1,761
274450	1,759
275205	1,759
275960	1,758
276715	1,756
277470	1,755
278225	1,754
278980	1,753
279735	1,751
280490	1,751
281245	1,749
282000	1,749
282755	1,747
283510	1,746
284265	1,745
285020	1,743
285775	1,742
286530	1,741
287285	1,740
288040	1,738
288795	1,738
289550	1,736
290305	1,735
291060	1,733
291815	1,732
292570	1,730
293325	1,730
294080	1,728
294835	1,727
295589	1,725
296344	1,724
297099	1,723
297854	1,722
298609	1,721
299364	1,719
300119	1,718
300874	1,716
301629	1,714
302384	1,713
303139	1,712
303894	1,710
304649	1,709
305404	1,707
306159	1,706
306914	1,704
307669	1,702
308424	1,701
309179	1,699
309934	1,697
310689	1,696
311444	1,693
312199	1,692
312954	1,690
313709	1,688
314464	1,687
315219	1,685
315974	1,683
316729	1,681
317484	1,679
318239	1,677
318994	1,675
319749	1,673
320504	1,671
321259	1,669
322014	1,667
322769	1,665
323524	1,663
324279	1,661
325034	1,658
325789	1,657
326544	1,654
327299	1,652
328054	1,649
328809	1,647
329563	1,645
330318	1,642
331073	1,640
331828	1,637
332583	1,635
333338	1,632
334093	1,629
334848	1,627
335603	1,624
336358	1,621
337113	1,618
337868	1,616
338623	1,612
339378	1,609
340133	1,606
340888	1,603
341643	1,600
342398	1,596
343153	1,593
343908	1,590
344663	1,586
345418	1,582
346173	1,579
346928	1,575
347683	1,571
348438	1,567
349193	1,563
349948	1,559
350703	1,555
351458	1,551
352213	1,546
352968	1,542
353723	1,538
354478	1,533
355233	1,528
355988	1,524
356702	1,519
357457	1,514
358182	1,509
358937	1,504
359444	1,500
