r [A]	U [eV]
15,76	-0,002177473
15,77	-0,002169203
15,78	-0,002160969
15,79	-0,002152773
15,8	-0,002144612
15,81	-0,002136487
15,82	-0,002128398
15,83	-0,002120345
15,84	-0,002112328
15,85	-0,002104346
15,86	-0,002096399
15,87	-0,002088487
15,88	-0,002080609
15,89	-0,002072767
15,9	-0,002064959
15,91	-0,002057185
15,92	-0,002049445
15,93	-0,002041739
15,94	-0,002034067
15,95	-0,002026429
15,96	-0,002018824
15,97	-0,002011252
15,98	-0,002003714
15,99	-0,001996208
16	-0,001988735
16,01	-0,001981295
16,02	-0,001973887
16,03	-0,001966512
16,04	-0,001959168
16,05	-0,001951857
16,06	-0,001944577
16,07	-0,001937329
16,08	-0,001930113
16,09	-0,001922928
16,1	-0,001915774
16,11	-0,001908651
16,12	-0,001901559
16,13	-0,001894498
16,14	-0,001887467
16,15	-0,001880467
16,16	-0,001873497
16,17	-0,001866557
16,18	-0,001859647
16,19	-0,001852767
16,2	-0,001845916
16,21	-0,001839095
16,22	-0,001832304
16,23	-0,001825541
16,24	-0,001818808
16,25	-0,001812104
16,26	-0,001805428
16,27	-0,001798782
16,28	-0,001792163
16,29	-0,001785573
16,3	-0,001779012
16,31	-0,001772478
16,32	-0,001765973
16,33	-0,001759495
16,34	-0,001753045
16,35	-0,001746623
16,36	-0,001740228
16,37	-0,00173386
16,38	-0,001727519
16,39	-0,001721206
16,4	-0,001714919
16,41	-0,001708659
16,42	-0,001702426
16,43	-0,00169622
16,44	-0,001690039
16,45	-0,001683885
16,46	-0,001677757
16,47	-0,001671655
16,48	-0,001665579
16,49	-0,001659529
16,5	-0,001653504
16,51	-0,001647505
16,52	-0,001641531
16,53	-0,001635583
16,54	-0,001629659
16,55	-0,001623761
16,56	-0,001617887
16,57	-0,001612039
16,58	-0,001606215
16,59	-0,001600415
16,6	-0,00159464
16,61	-0,001588889
16,62	-0,001583162
16,63	-0,00157746
16,64	-0,001571781
16,65	-0,001566126
16,66	-0,001560495
16,67	-0,001554887
16,68	-0,001549303
16,69	-0,001543743
16,7	-0,001538205
16,71	-0,001532691
16,72	-0,0015272
16,73	-0,001521732
16,74	-0,001516286
16,75	-0,001510864
16,76	-0,001505464
16,77	-0,001500086
16,78	-0,001494731
16,79	-0,001489398
16,8	-0,001484087
16,81	-0,001478799
16,82	-0,001473532
16,83	-0,001468287
16,84	-0,001463064
16,85	-0,001457863
16,86	-0,001452683
16,87	-0,001447525
16,88	-0,001442388
16,89	-0,001437272
16,9	-0,001432177
16,91	-0,001427104
16,92	-0,001422051
16,93	-0,001417019
16,94	-0,001412008
16,95	-0,001407018
16,96	-0,001402048
16,97	-0,001397099
16,98	-0,00139217
16,99	-0,001387262
17	-0,001382373
17,01	-0,001377505
17,02	-0,001372656
17,03	-0,001367828
17,04	-0,001363019
17,05	-0,00135823
17,06	-0,001353461
17,07	-0,001348711
17,08	-0,001343981
17,09	-0,00133927
17,1	-0,001334578
17,11	-0,001329905
17,12	-0,001325252
17,13	-0,001320617
17,14	-0,001316001
17,15	-0,001311404
17,16	-0,001306826
17,17	-0,001302267
17,18	-0,001297726
17,19	-0,001293203
17,2	-0,001288699
17,21	-0,001284213
17,22	-0,001279746
17,23	-0,001275296
17,24	-0,001270865
17,25	-0,001266451
17,26	-0,001262055
17,27	-0,001257678
17,28	-0,001253317
17,29	-0,001248975
17,3	-0,00124465
17,31	-0,001240342
17,32	-0,001236052
17,33	-0,001231779
17,34	-0,001227524
17,35	-0,001223285
17,36	-0,001219064
17,37	-0,001214859
17,38	-0,001210672
17,39	-0,001206501
17,4	-0,001202347
17,41	-0,00119821
17,42	-0,001194089
17,43	-0,001189985
17,44	-0,001185897
17,45	-0,001181826
17,46	-0,001177771
17,47	-0,001173732
17,48	-0,001169709
17,49	-0,001165703
17,5	-0,001161712
17,51	-0,001157737
17,52	-0,001153779
17,53	-0,001149836
17,54	-0,001145908
17,55	-0,001141997
17,56	-0,0011381
17,57	-0,00113422
17,58	-0,001130355
17,59	-0,001126505
17,6	-0,00112267
17,61	-0,001118851
17,62	-0,001115047
17,63	-0,001111258
17,64	-0,001107484
17,65	-0,001103724
17,66	-0,00109998
17,67	-0,001096251
17,68	-0,001092536
17,69	-0,001088836
17,7	-0,001085151
17,71	-0,00108148
17,72	-0,001077823
17,73	-0,001074181
17,74	-0,001070554
17,75	-0,00106694
17,76	-0,001063341
17,77	-0,001059756
17,78	-0,001056185
17,79	-0,001052628
17,8	-0,001049085
17,81	-0,001045556
17,82	-0,001042041
17,83	-0,00103854
17,84	-0,001035052
17,85	-0,001031578
17,86	-0,001028118
17,87	-0,001024671
17,88	-0,001021238
17,89	-0,001017818
17,9	-0,001014411
17,91	-0,001011018
17,92	-0,001007638
17,93	-0,001004271
17,94	-0,001000917
17,95	-0,000997576
17,96	-0,000994248
17,97	-0,000990934
17,98	-0,000987632
17,99	-0,000984343
18	-0,000981066
18,01	-0,000977803
18,02	-0,000974552
18,03	-0,000971313
18,04	-0,000968088
18,05	-0,000964874
18,06	-0,000961673
18,07	-0,000958485
18,08	-0,000955309
18,09	-0,000952145
18,1	-0,000948993
18,11	-0,000945854
18,12	-0,000942726
18,13	-0,000939611
18,14	-0,000936507
18,15	-0,000933416
18,16	-0,000930337
18,17	-0,000927269
18,18	-0,000924213
18,19	-0,000921169
18,2	-0,000918137
18,21	-0,000915116
18,22	-0,000912107
18,23	-0,000909109
18,24	-0,000906123
18,25	-0,000903148
18,26	-0,000900185
18,27	-0,000897233
18,28	-0,000894292
18,29	-0,000891362
18,3	-0,000888444
18,31	-0,000885537
18,32	-0,000882641
18,33	-0,000879756
18,34	-0,000876882
18,35	-0,000874019
18,36	-0,000871167
18,37	-0,000868325
18,38	-0,000865495
18,39	-0,000862675
18,4	-0,000859866
18,41	-0,000857068
18,42	-0,00085428
18,43	-0,000851503
18,44	-0,000848736
18,45	-0,00084598
18,46	-0,000843234
18,47	-0,000840499
18,48	-0,000837774
18,49	-0,000835059
18,5	-0,000832355
18,51	-0,00082966
18,52	-0,000826976
18,53	-0,000824302
18,54	-0,000821638
18,55	-0,000818985
18,56	-0,000816341
18,57	-0,000813707
18,58	-0,000811083
18,59	-0,000808469
18,6	-0,000805864
18,61	-0,00080327
18,62	-0,000800685
18,63	-0,00079811
18,64	-0,000795545
18,65	-0,000792989
18,66	-0,000790443
18,67	-0,000787906
18,68	-0,000785379
18,69	-0,000782861
18,7	-0,000780353
18,71	-0,000777854
18,72	-0,000775364
18,73	-0,000772884
18,74	-0,000770413
18,75	-0,000767951
18,76	-0,000765498
18,77	-0,000763055
18,78	-0,00076062
18,79	-0,000758195
18,8	-0,000755778
18,81	-0,000753371
18,82	-0,000750972
18,83	-0,000748583
18,84	-0,000746202
18,85	-0,00074383
18,86	-0,000741467
18,87	-0,000739113
18,88	-0,000736767
18,89	-0,00073443
18,9	-0,000732102
18,91	-0,000729782
18,92	-0,000727471
18,93	-0,000725168
18,94	-0,000722874
18,95	-0,000720589
18,96	-0,000718312
18,97	-0,000716043
18,98	-0,000713782
18,99	-0,00071153
19	-0,000709286
19,01	-0,000707051
19,02	-0,000704823
19,03	-0,000702604
19,04	-0,000700393
19,05	-0,00069819
19,06	-0,000695995
19,07	-0,000693808
19,08	-0,00069163
19,09	-0,000689459
19,1	-0,000687296
19,11	-0,000685141
19,12	-0,000682994
19,13	-0,000680855
19,14	-0,000678723
19,15	-0,0006766
19,16	-0,000674484
19,17	-0,000672375
19,18	-0,000670275
19,19	-0,000668182
19,2	-0,000666097
19,21	-0,000664019
19,22	-0,000661949
19,23	-0,000659887
19,24	-0,000657831
19,25	-0,000655784
19,26	-0,000653744
19,27	-0,000651711
19,28	-0,000649685
19,29	-0,000647667
19,3	-0,000645657
19,31	-0,000643653
19,32	-0,000641657
19,33	-0,000639668
19,34	-0,000637686
19,35	-0,000635711
19,36	-0,000633744
19,37	-0,000631783
19,38	-0,00062983
19,39	-0,000627884
19,4	-0,000625944
19,41	-0,000624012
19,42	-0,000622087
19,43	-0,000620168
19,44	-0,000618257
19,45	-0,000616352
19,46	-0,000614454
19,47	-0,000612563
19,48	-0,000610679
19,49	-0,000608802
19,5	-0,000606931
19,51	-0,000605067
19,52	-0,000603209
19,53	-0,000601359
19,54	-0,000599515
19,55	-0,000597677
19,56	-0,000595846
19,57	-0,000594022
19,58	-0,000592204
19,59	-0,000590393
19,6	-0,000588588
19,61	-0,000586789
19,62	-0,000584997
19,63	-0,000583211
19,64	-0,000581432
19,65	-0,000579659
19,66	-0,000577892
19,67	-0,000576132
19,68	-0,000574378
19,69	-0,00057263
19,7	-0,000570888
19,71	-0,000569152
19,72	-0,000567423
19,73	-0,0005657
19,74	-0,000563982
19,75	-0,000562271
19,76	-0,000560566
19,77	-0,000558867
19,78	-0,000557174
19,79	-0,000555487
19,8	-0,000553806
19,81	-0,000552131
19,82	-0,000550462
19,83	-0,000548798
19,84	-0,000547141
19,85	-0,000545489
19,86	-0,000543843
19,87	-0,000542203
19,88	-0,000540569
19,89	-0,00053894
19,9	-0,000537317
19,91	-0,0005357
19,92	-0,000534089
19,93	-0,000532483
19,94	-0,000530883
19,95	-0,000529288
19,96	-0,000527699
19,97	-0,000526116
19,98	-0,000524538
19,99	-0,000522966
20	-0,000521399
