r [A]	U [eV]
5,97	-0,691818354
5,98	-0,685353843
5,99	-0,678955679
6	-0,672623173
6,01	-0,66635564
6,02	-0,660152401
6,03	-0,654012784
6,04	-0,647936121
6,05	-0,641921753
6,06	-0,635969023
6,07	-0,630077284
6,08	-0,624245892
6,09	-0,61847421
6,1	-0,612761606
6,11	-0,607107456
6,12	-0,60151114
6,13	-0,595972044
6,14	-0,59048956
6,15	-0,585063087
6,16	-0,579692028
6,17	-0,574375793
6,18	-0,569113797
6,19	-0,563905461
6,2	-0,558750213
6,21	-0,553647484
6,22	-0,548596713
6,23	-0,543597344
6,24	-0,538648825
6,25	-0,533750612
6,26	-0,528902165
6,27	-0,52410295
6,28	-0,519352438
6,29	-0,514650106
6,3	-0,509995437
6,31	-0,505387917
6,32	-0,500827039
6,33	-0,496312302
6,34	-0,491843209
6,35	-0,487419268
6,36	-0,483039993
6,37	-0,478704902
6,38	-0,474413521
6,39	-0,470165376
6,4	-0,465960003
6,41	-0,46179694
6,42	-0,45767573
6,43	-0,453595923
6,44	-0,449557072
6,45	-0,445558736
6,46	-0,441600476
6,47	-0,437681861
6,48	-0,433802463
6,49	-0,42996186
6,5	-0,426159632
6,51	-0,422395367
6,52	-0,418668653
6,53	-0,414979088
6,54	-0,41132627
6,55	-0,407709802
6,56	-0,404129294
6,57	-0,400584358
6,58	-0,39707461
6,59	-0,393599672
6,6	-0,390159168
6,61	-0,386752729
6,62	-0,383379986
6,63	-0,380040579
6,64	-0,376734147
6,65	-0,373460337
6,66	-0,370218798
6,67	-0,367009183
6,68	-0,363831149
6,69	-0,360684357
6,7	-0,357568472
6,71	-0,354483162
6,72	-0,351428099
6,73	-0,348402958
6,74	-0,34540742
6,75	-0,342441167
6,76	-0,339503885
6,77	-0,336595265
6,78	-0,333714999
6,79	-0,330862785
6,8	-0,328038323
6,81	-0,325241316
6,82	-0,322471472
6,83	-0,319728501
6,84	-0,317012115
6,85	-0,314322033
6,86	-0,311657972
6,87	-0,309019657
6,88	-0,306406814
6,89	-0,303819172
6,9	-0,301256462
6,91	-0,298718421
6,92	-0,296204786
6,93	-0,293715298
6,94	-0,291249702
6,95	-0,288807744
6,96	-0,286389174
6,97	-0,283993745
6,98	-0,281621212
6,99	-0,279271333
7	-0,276943869
7,01	-0,274638584
7,02	-0,272355243
7,03	-0,270093615
7,04	-0,267853472
7,05	-0,265634587
7,06	-0,263436738
7,07	-0,261259703
7,08	-0,259103263
7,09	-0,256967204
7,1	-0,254851309
7,11	-0,25275537
7,12	-0,250679177
7,13	-0,248622522
7,14	-0,246585203
7,15	-0,244567017
7,16	-0,242567764
7,17	-0,240587248
7,18	-0,238625272
7,19	-0,236681644
7,2	-0,234756173
7,21	-0,232848671
7,22	-0,23095895
7,23	-0,229086826
7,24	-0,227232117
7,25	-0,225394643
7,26	-0,223574224
7,27	-0,221770685
7,28	-0,21998385
7,29	-0,218213549
7,3	-0,216459609
7,31	-0,214721863
7,32	-0,213000143
7,33	-0,211294285
7,34	-0,209604126
7,35	-0,207929504
7,36	-0,20627026
7,37	-0,204626235
7,38	-0,202997276
7,39	-0,201383226
7,4	-0,199783934
7,41	-0,198199248
7,42	-0,19662902
7,43	-0,195073103
7,44	-0,193531349
7,45	-0,192003616
7,46	-0,19048976
7,47	-0,18898964
7,48	-0,187503117
7,49	-0,186030054
7,5	-0,184570313
7,51	-0,183123759
7,52	-0,18169026
7,53	-0,180269682
7,54	-0,178861897
7,55	-0,177466774
7,56	-0,176084187
7,57	-0,174714008
7,58	-0,173356113
7,59	-0,172010379
7,6	-0,170676682
7,61	-0,169354904
7,62	-0,168044923
7,63	-0,166746623
7,64	-0,165459885
7,65	-0,164184596
7,66	-0,162920639
7,67	-0,161667902
7,68	-0,160426274
7,69	-0,159195643
7,7	-0,157975901
7,71	-0,156766939
7,72	-0,15556865
7,73	-0,154380928
7,74	-0,153203668
7,75	-0,152036767
7,76	-0,150880123
7,77	-0,149733634
7,78	-0,148597199
7,79	-0,147470721
7,8	-0,146354099
7,81	-0,145247239
7,82	-0,144150043
7,83	-0,143062416
7,84	-0,141984266
7,85	-0,140915498
7,86	-0,139856021
7,87	-0,138805744
7,88	-0,137764577
7,89	-0,136732431
7,9	-0,135709218
7,91	-0,134694852
7,92	-0,133689245
7,93	-0,132692313
7,94	-0,131703971
7,95	-0,130724136
7,96	-0,129752726
7,97	-0,128789659
7,98	-0,127834853
7,99	-0,12688823
8	-0,12594971
8,01	-0,125019215
8,02	-0,124096668
8,03	-0,123181992
8,04	-0,122275111
8,05	-0,12137595
8,06	-0,120484436
8,07	-0,119600494
8,08	-0,118724053
8,09	-0,117855041
8,1	-0,116993386
8,11	-0,116139018
8,12	-0,115291868
8,13	-0,114451867
8,14	-0,113618946
8,15	-0,112793039
8,16	-0,111974078
8,17	-0,111161998
8,18	-0,110356734
8,19	-0,10955822
8,2	-0,108766394
8,21	-0,107981191
8,22	-0,107202549
8,23	-0,106430406
8,24	-0,105664701
8,25	-0,104905373
8,26	-0,104152363
8,27	-0,10340561
8,28	-0,102665056
8,29	-0,101930643
8,3	-0,101202314
8,31	-0,100480011
8,32	-0,099763678
8,33	-0,099053259
8,34	-0,098348699
8,35	-0,097649943
8,36	-0,096956938
8,37	-0,096269629
8,38	-0,095587965
8,39	-0,094911891
8,4	-0,094241357
8,41	-0,093576312
8,42	-0,092916703
8,43	-0,092262482
8,44	-0,091613598
8,45	-0,090970002
8,46	-0,090331645
8,47	-0,089698479
8,48	-0,089070456
8,49	-0,088447529
8,5	-0,087829652
8,51	-0,087216777
8,52	-0,086608859
8,53	-0,086005852
8,54	-0,085407712
8,55	-0,084814394
8,56	-0,084225855
8,57	-0,083642049
8,58	-0,083062936
8,59	-0,082488471
8,6	-0,081918612
8,61	-0,081353318
8,62	-0,080792547
8,63	-0,080236258
8,64	-0,079684411
8,65	-0,079136965
8,66	-0,078593881
8,67	-0,078055119
8,68	-0,077520641
8,69	-0,076990407
8,7	-0,076464379
8,71	-0,075942521
8,72	-0,075424793
8,73	-0,07491116
8,74	-0,074401584
8,75	-0,073896029
8,76	-0,073394459
8,77	-0,072896839
8,78	-0,072403133
8,79	-0,071913307
8,8	-0,071427325
8,81	-0,070945154
8,82	-0,07046676
8,83	-0,069992109
8,84	-0,069521167
8,85	-0,069053903
8,86	-0,068590284
8,87	-0,068130276
8,88	-0,067673849
8,89	-0,067220971
8,9	-0,066771609
8,91	-0,066325735
8,92	-0,065883316
8,93	-0,065444323
8,94	-0,065008724
8,95	-0,064576491
8,96	-0,064147595
8,97	-0,063722004
8,98	-0,063299692
8,99	-0,062880629
9	-0,062464787
9,01	-0,062052137
9,02	-0,061642652
9,03	-0,061236305
